Kategorie: Alle Kategorien

Woche,Bewerbung: (Deutschland)
2018-11-25,70
2018-12-02,71
2018-12-09,67
2018-12-16,59
2018-12-23,32
2018-12-30,59
2019-01-06,98
2019-01-13,96
2019-01-20,94
2019-01-27,94
2019-02-03,89
2019-02-10,89
2019-02-17,88
2019-02-24,82
2019-03-03,80
2019-03-10,79
2019-03-17,76
2019-03-24,78
2019-03-31,73
2019-04-07,75
2019-04-14,62
2019-04-21,60
2019-04-28,67
2019-05-05,75
2019-05-12,76
2019-05-19,77
2019-05-26,67
2019-06-02,72
2019-06-09,72
2019-06-16,74
2019-06-23,78
2019-06-30,87
2019-07-07,100
2019-07-14,81
2019-07-21,76
2019-07-28,68
2019-08-04,72
2019-08-11,75
2019-08-18,78
2019-08-25,79
2019-09-01,72
2019-09-08,80
2019-09-15,79
2019-09-22,84
2019-09-29,72
2019-10-06,72
2019-10-13,70
2019-10-20,72
2019-10-27,65
2019-11-03,75
2019-11-10,69
2019-11-17,70
2019-11-24,63
2019-12-01,65
2019-12-08,61
2019-12-15,56
2019-12-22,30
2019-12-29,48
2020-01-05,84
2020-01-12,90
2020-01-19,84
2020-01-26,87
2020-02-02,77
2020-02-09,77
2020-02-16,80
2020-02-23,72
2020-03-01,72
2020-03-08,62
2020-03-15,42
2020-03-22,44
2020-03-29,45
2020-04-05,38
2020-04-12,42
2020-04-19,51
2020-04-26,50
2020-05-03,57
2020-05-10,64
2020-05-17,56
2020-05-24,63
2020-05-31,62
2020-06-07,66
2020-06-14,69
2020-06-21,68
2020-06-28,82
2020-07-05,80
2020-07-12,80
2020-07-19,72
2020-07-26,69
2020-08-02,67
2020-08-09,70
2020-08-16,97
2020-08-23,85
2020-08-30,79
2020-09-06,82
2020-09-13,75
2020-09-20,78
2020-09-27,74
2020-10-04,68
2020-10-11,66
2020-10-18,64
2020-10-25,64
2020-11-01,58
2020-11-08,66
2020-11-15,63
2020-11-22,57
2020-11-29,58
2020-12-06,52
2020-12-13,49
2020-12-20,30
2020-12-27,38
2021-01-03,62
2021-01-10,71
2021-01-17,72
2021-01-24,71
2021-01-31,72
2021-02-07,64
2021-02-14,68
2021-02-21,68
2021-02-28,65
2021-03-07,63
2021-03-14,64
2021-03-21,58
2021-03-28,50
2021-04-04,50
2021-04-11,59
2021-04-18,58
2021-04-25,58
2021-05-02,56
2021-05-09,49
2021-05-16,56
2021-05-23,55
2021-05-30,51
2021-06-06,56
2021-06-13,48
2021-06-20,56
2021-06-27,56
2021-07-04,61
2021-07-11,60
2021-07-18,56
2021-07-25,59
2021-08-01,56
2021-08-08,54
2021-08-15,55
2021-08-22,54
2021-08-29,57
2021-09-05,61
2021-09-12,66
2021-09-19,59
2021-09-26,59
2021-10-03,60
2021-10-10,60
2021-10-17,58
2021-10-24,58
2021-10-31,54
2021-11-07,56
2021-11-14,54
2021-11-21,48
2021-11-28,52
2021-12-05,48
2021-12-12,50
2021-12-19,37
2021-12-26,39
2022-01-02,69
2022-01-09,78
2022-01-16,71
2022-01-23,75
2022-01-30,79
2022-02-06,77
2022-02-13,72
2022-02-20,71
2022-02-27,64
2022-03-06,64
2022-03-13,66
2022-03-20,59
2022-03-27,58
2022-04-03,61
2022-04-10,48
2022-04-17,51
2022-04-24,59
2022-05-01,58
2022-05-08,60
2022-05-15,57
2022-05-22,50
2022-05-29,60
2022-06-05,54
2022-06-12,55
2022-06-19,56
2022-06-26,60
2022-07-03,65
2022-07-10,73
2022-07-17,50
2022-07-24,55
2022-07-31,53
2022-08-07,55
2022-08-14,51
2022-08-21,55
2022-08-28,59
2022-09-04,59
2022-09-11,59
2022-09-18,60
2022-09-25,59
2022-10-02,55
2022-10-09,56
2022-10-16,56
2022-10-23,58
2022-10-30,50
2022-11-06,58
2022-11-13,58
2022-11-20,49
2022-11-27,51
2022-12-04,50
2022-12-11,46
2022-12-18,38
2022-12-25,31
2023-01-01,63
2023-01-08,73
2023-01-15,74
2023-01-22,72
2023-01-29,69
2023-02-05,67
2023-02-12,65
2023-02-19,63
2023-02-26,63
2023-03-05,59
2023-03-12,60
2023-03-19,55
2023-03-26,59
2023-04-02,46
2023-04-09,48
2023-04-16,56
2023-04-23,53
2023-04-30,50
2023-05-07,54
2023-05-14,48
2023-05-21,52
2023-05-28,49
2023-06-04,48
2023-06-11,53
2023-06-18,55
2023-06-25,60
