Kategorie: Alle Kategorien

Woche,Indeed: (Deutschland)
2010-11-28,6
2010-12-05,6
2010-12-12,8
2010-12-19,6
2010-12-26,5
2011-01-02,7
2011-01-09,7
2011-01-16,7
2011-01-23,9
2011-01-30,9
2011-02-06,10
2011-02-13,11
2011-02-20,10
2011-02-27,12
2011-03-06,10
2011-03-13,11
2011-03-20,12
2011-03-27,12
2011-04-03,13
2011-04-10,13
2011-04-17,11
2011-04-24,11
2011-05-01,14
2011-05-08,14
2011-05-15,14
2011-05-22,15
2011-05-29,13
2011-06-05,16
2011-06-12,13
2011-06-19,15
2011-06-26,15
2011-07-03,16
2011-07-10,17
2011-07-17,16
2011-07-24,15
2011-07-31,16
2011-08-07,15
2011-08-14,16
2011-08-21,15
2011-08-28,16
2011-09-04,16
2011-09-11,17
2011-09-18,17
2011-09-25,17
2011-10-02,19
2011-10-09,18
2011-10-16,19
2011-10-23,18
2011-10-30,18
2011-11-06,20
2011-11-13,19
2011-11-20,18
2011-11-27,18
2011-12-04,19
2011-12-11,17
2011-12-18,17
2011-12-25,17
2012-01-01,20
2012-01-08,21
2012-01-15,23
2012-01-22,23
2012-01-29,23
2012-02-05,24
2012-02-12,24
2012-02-19,25
2012-02-26,26
2012-03-04,24
2012-03-11,27
2012-03-18,25
2012-03-25,23
2012-04-01,21
2012-04-08,22
2012-04-15,27
2012-04-22,25
2012-04-29,21
2012-05-06,24
2012-05-13,23
2012-05-20,24
2012-05-27,22
2012-06-03,22
2012-06-10,24
2012-06-17,25
2012-06-24,24
2012-07-01,25
2012-07-08,26
2012-07-15,26
2012-07-22,26
2012-07-29,25
2012-08-05,26
2012-08-12,27
2012-08-19,24
2012-08-26,25
2012-09-02,29
2012-09-09,25
2012-09-16,27
2012-09-23,28
2012-09-30,29
2012-10-07,30
2012-10-14,33
2012-10-21,32
2012-10-28,30
2012-11-04,33
2012-11-11,31
2012-11-18,29
2012-11-25,33
2012-12-02,31
2012-12-09,28
2012-12-16,27
2012-12-23,20
2012-12-30,27
2013-01-06,36
2013-01-13,39
2013-01-20,36
2013-01-27,36
2013-02-03,38
2013-02-10,35
2013-02-17,38
2013-02-24,39
2013-03-03,39
2013-03-10,41
2013-03-17,42
2013-03-24,38
2013-03-31,35
2013-04-07,44
2013-04-14,41
2013-04-21,42
2013-04-28,38
2013-05-05,36
2013-05-12,40
2013-05-19,39
2013-05-26,41
2013-06-02,42
2013-06-09,44
2013-06-16,42
2013-06-23,47
2013-06-30,47
2013-07-07,47
2013-07-14,44
2013-07-21,46
2013-07-28,47
2013-08-04,46
2013-08-11,46
2013-08-18,47
2013-08-25,46
2013-09-01,46
2013-09-08,47
2013-09-15,46
2013-09-22,47
2013-09-29,41
2013-10-06,47
2013-10-13,48
2013-10-20,48
2013-10-27,47
2013-11-03,52
2013-11-10,48
2013-11-17,48
2013-11-24,48
2013-12-01,45
2013-12-08,43
2013-12-15,41
2013-12-22,26
2013-12-29,37
2014-01-05,52
2014-01-12,56
2014-01-19,54
2014-01-26,56
2014-02-02,60
2014-02-09,59
2014-02-16,58
2014-02-23,60
2014-03-02,59
2014-03-09,64
2014-03-16,60
2014-03-23,61
2014-03-30,63
2014-04-06,64
2014-04-13,59
2014-04-20,60
2014-04-27,54
2014-05-04,59
2014-05-11,64
2014-05-18,63
2014-05-25,55
2014-06-01,60
2014-06-08,55
2014-06-15,58
2014-06-22,64
2014-06-29,59
2014-07-06,62
2014-07-13,61
2014-07-20,63
2014-07-27,64
2014-08-03,68
2014-08-10,61
2014-08-17,64
2014-08-24,64
2014-08-31,66
2014-09-07,63
2014-09-14,68
2014-09-21,65
2014-09-28,60
2014-10-05,66
2014-10-12,68
2014-10-19,70
2014-10-26,66
2014-11-02,71
2014-11-09,91
2014-11-16,92
2014-11-23,81
2014-11-30,82
2014-12-07,87
2014-12-14,70
2014-12-21,47
2014-12-28,56
2015-01-04,74
2015-01-11,85
2015-01-18,90
2015-01-25,100
2015-02-01,100
2015-02-08,96
2015-02-15,92
2015-02-22,91
2015-03-01,89
2015-03-08,93
2015-03-15,90
2015-03-22,87
2015-03-29,77
2015-04-05,82
2015-04-12,88
2015-04-19,85
2015-04-26,76
2015-05-03,81
2015-05-10,82
2015-05-17,84
2015-05-24,80
2015-05-31,80
2015-06-07,80
2015-06-14,86
2015-06-21,82
2015-06-28,80
2015-07-05,83
2015-07-12,85
2015-07-19,82
2015-07-26,86
2015-08-02,88
2015-08-09,79
2015-08-16,81
2015-08-23,81
2015-08-30,82
2015-09-06,87
2015-09-13,81
2015-09-20,82
2015-09-27,89
2015-10-04,88
2015-10-11,92
2015-10-18,90
2015-10-25,86
2015-11-01,92
2015-11-08,92
2015-11-15,88
2015-11-22,83
2015-11-29,82
