Kategorie: Alle Kategorien

Woche,Stepstone: (Deutschland)
2014-11-30,88
2014-12-07,85
2014-12-14,75
2014-12-21,45
2014-12-28,53
2015-01-04,94
2015-01-11,99
2015-01-18,96
2015-01-25,94
2015-02-01,99
2015-02-08,96
2015-02-15,97
2015-02-22,98
2015-03-01,97
2015-03-08,100
2015-03-15,94
2015-03-22,93
2015-03-29,84
2015-04-05,86
2015-04-12,91
2015-04-19,92
2015-04-26,84
2015-05-03,88
2015-05-10,79
2015-05-17,89
2015-05-24,84
2015-05-31,84
2015-06-07,94
2015-06-14,89
2015-06-21,92
2015-06-28,83
2015-07-05,88
2015-07-12,90
2015-07-19,91
2015-07-26,95
2015-08-02,82
2015-08-09,80
2015-08-16,85
2015-08-23,84
2015-08-30,93
2015-09-06,84
2015-09-13,87
2015-09-20,85
2015-09-27,87
2015-10-04,91
2015-10-11,84
2015-10-18,85
2015-10-25,80
2015-11-01,85
2015-11-08,83
2015-11-15,86
2015-11-22,76
2015-11-29,75
2015-12-06,75
2015-12-13,70
2015-12-20,45
2015-12-27,64
2016-01-03,85
2016-01-10,84
2016-01-17,81
2016-01-24,78
2016-01-31,90
2016-02-07,87
2016-02-14,83
2016-02-21,80
2016-02-28,78
2016-03-06,85
2016-03-13,77
2016-03-20,69
2016-03-27,67
2016-04-03,72
2016-04-10,68
2016-04-17,72
2016-04-24,69
2016-05-01,56
2016-05-08,65
2016-05-15,62
2016-05-22,58
2016-05-29,64
2016-06-05,57
2016-06-12,64
2016-06-19,58
2016-06-26,57
2016-07-03,61
2016-07-10,59
2016-07-17,58
2016-07-24,61
2016-07-31,61
2016-08-07,60
2016-08-14,59
2016-08-21,60
2016-08-28,64
2016-09-04,63
2016-09-11,64
2016-09-18,63
2016-09-25,62
2016-10-02,58
2016-10-09,63
2016-10-16,62
2016-10-23,63
2016-10-30,63
2016-11-06,63
2016-11-13,64
2016-11-20,61
2016-11-27,63
2016-12-04,61
2016-12-11,54
2016-12-18,45
2016-12-25,39
2017-01-01,66
2017-01-08,69
2017-01-15,70
2017-01-22,70
2017-01-29,68
2017-02-05,72
2017-02-12,71
2017-02-19,68
2017-02-26,67
2017-03-05,72
2017-03-12,69
2017-03-19,78
2017-03-26,68
2017-04-02,68
2017-04-09,59
2017-04-16,62
2017-04-23,66
2017-04-30,62
2017-05-07,66
2017-05-14,64
2017-05-21,55
2017-05-28,63
2017-06-04,61
2017-06-11,60
2017-06-18,63
2017-06-25,64
2017-07-02,65
2017-07-09,67
2017-07-16,67
2017-07-23,72
2017-07-30,77
2017-08-06,74
2017-08-13,80
2017-08-20,79
2017-08-27,75
2017-09-03,78
2017-09-10,78
2017-09-17,74
2017-09-24,76
2017-10-01,69
2017-10-08,82
2017-10-15,78
2017-10-22,75
2017-10-29,63
2017-11-05,75
2017-11-12,75
2017-11-19,72
2017-11-26,68
2017-12-03,71
2017-12-10,65
2017-12-17,58
2017-12-24,42
2017-12-31,66
2018-01-07,84
2018-01-14,85
2018-01-21,78
2018-01-28,80
2018-02-04,80
2018-02-11,83
2018-02-18,86
2018-02-25,86
2018-03-04,85
2018-03-11,84
2018-03-18,89
2018-03-25,71
2018-04-01,70
2018-04-08,79
2018-04-15,78
2018-04-22,88
2018-04-29,77
2018-05-06,70
2018-05-13,78
2018-05-20,75
2018-05-27,70
2018-06-03,80
2018-06-10,75
2018-06-17,73
2018-06-24,77
2018-07-01,77
2018-07-08,80
2018-07-15,74
2018-07-22,71
2018-07-29,75
2018-08-05,76
2018-08-12,77
2018-08-19,73
2018-08-26,74
2018-09-02,72
2018-09-09,74
2018-09-16,76
2018-09-23,73
2018-09-30,69
2018-10-07,74
2018-10-14,79
2018-10-21,74
2018-10-28,62
2018-11-04,75
2018-11-11,73
2018-11-18,69
2018-11-25,70
2018-12-02,67
2018-12-09,62
2018-12-16,59
2018-12-23,38
2018-12-30,65
2019-01-06,89
2019-01-13,89
2019-01-20,82
2019-01-27,83
2019-02-03,81
2019-02-10,89
2019-02-17,85
2019-02-24,79
2019-03-03,80
2019-03-10,81
2019-03-17,88
2019-03-24,81
2019-03-31,76
2019-04-07,77
2019-04-14,67
2019-04-21,69
2019-04-28,71
2019-05-05,79
2019-05-12,75
2019-05-19,79
2019-05-26,64
2019-06-02,72
2019-06-09,67
2019-06-16,69
2019-06-23,73
2019-06-30,72
2019-07-07,74
2019-07-14,73
2019-07-21,66
2019-07-28,64
2019-08-04,66
2019-08-11,68
2019-08-18,70
2019-08-25,68
2019-09-01,68
2019-09-08,68
2019-09-15,67
2019-09-22,66
2019-09-29,62
2019-10-06,70
2019-10-13,71
2019-10-20,72
2019-10-27,63
2019-11-03,65
2019-11-10,69
2019-11-17,70
2019-11-24,60
