Kategorie: Alle Kategorien

Woche,hartz vier: (Deutschland)
2018-11-25,47
2018-12-02,36
2018-12-09,39
2018-12-16,36
2018-12-23,49
2018-12-30,36
2019-01-06,44
2019-01-13,46
2019-01-20,42
2019-01-27,40
2019-02-03,35
2019-02-10,56
2019-02-17,44
2019-02-24,55
2019-03-03,42
2019-03-10,41
2019-03-17,36
2019-03-24,48
2019-03-31,38
2019-04-07,24
2019-04-14,41
2019-04-21,35
2019-04-28,33
2019-05-05,44
2019-05-12,45
2019-05-19,50
2019-05-26,52
2019-06-02,33
2019-06-09,30
2019-06-16,44
2019-06-23,45
2019-06-30,42
2019-07-07,28
2019-07-14,39
2019-07-21,41
2019-07-28,36
2019-08-04,38
2019-08-11,30
2019-08-18,31
2019-08-25,46
2019-09-01,37
2019-09-08,43
2019-09-15,34
2019-09-22,34
2019-09-29,29
2019-10-06,32
2019-10-13,28
2019-10-20,31
2019-10-27,49
2019-11-03,74
2019-11-10,45
2019-11-17,48
2019-11-24,44
2019-12-01,60
2019-12-08,37
2019-12-15,53
2019-12-22,46
2019-12-29,49
2020-01-05,27
2020-01-12,45
2020-01-19,29
2020-01-26,49
2020-02-02,39
2020-02-09,42
2020-02-16,37
2020-02-23,26
2020-03-01,36
2020-03-08,26
2020-03-15,50
2020-03-22,93
2020-03-29,64
2020-04-05,40
2020-04-12,42
2020-04-19,54
2020-04-26,40
2020-05-03,41
2020-05-10,40
2020-05-17,47
2020-05-24,40
2020-05-31,46
2020-06-07,46
2020-06-14,36
2020-06-21,31
2020-06-28,50
2020-07-05,43
2020-07-12,46
2020-07-19,30
2020-07-26,54
2020-08-02,36
2020-08-09,30
2020-08-16,42
2020-08-23,41
2020-08-30,46
2020-09-06,31
2020-09-13,38
2020-09-20,35
2020-09-27,34
2020-10-04,44
2020-10-11,41
2020-10-18,29
2020-10-25,56
2020-11-01,48
2020-11-08,28
2020-11-15,46
2020-11-22,50
2020-11-29,35
2020-12-06,29
2020-12-13,37
2020-12-20,33
2020-12-27,30
2021-01-03,38
2021-01-10,42
2021-01-17,42
2021-01-24,65
2021-01-31,63
2021-02-07,60
2021-02-14,58
2021-02-21,58
2021-02-28,54
2021-03-07,43
2021-03-14,34
2021-03-21,43
2021-03-28,47
2021-04-04,37
2021-04-11,49
2021-04-18,59
2021-04-25,90
2021-05-02,61
2021-05-09,74
2021-05-16,34
2021-05-23,35
2021-05-30,33
2021-06-06,27
2021-06-13,31
2021-06-20,32
2021-06-27,36
2021-07-04,41
2021-07-11,33
2021-07-18,27
2021-07-25,53
2021-08-01,40
2021-08-08,39
2021-08-15,27
2021-08-22,57
2021-08-29,42
2021-09-05,32
2021-09-12,44
2021-09-19,44
2021-09-26,38
2021-10-03,21
2021-10-10,34
2021-10-17,42
2021-10-24,40
2021-10-31,40
2021-11-07,35
2021-11-14,31
2021-11-21,43
2021-11-28,25
2021-12-05,51
2021-12-12,34
2021-12-19,0
2021-12-26,36
2022-01-02,23
2022-01-09,28
2022-01-16,23
2022-01-23,45
2022-01-30,54
2022-02-06,30
2022-02-13,43
2022-02-20,44
2022-02-27,31
2022-03-06,37
2022-03-13,33
2022-03-20,53
2022-03-27,42
2022-04-03,31
2022-04-10,32
2022-04-17,52
2022-04-24,55
2022-05-01,41
2022-05-08,48
2022-05-15,44
2022-05-22,52
2022-05-29,64
2022-06-05,38
2022-06-12,34
2022-06-19,60
2022-06-26,100
2022-07-03,59
2022-07-10,55
2022-07-17,72
2022-07-24,95
2022-07-31,43
2022-08-07,29
2022-08-14,44
2022-08-21,40
2022-08-28,61
2022-09-04,53
2022-09-11,72
2022-09-18,47
2022-09-25,53
2022-10-02,53
2022-10-09,36
2022-10-16,52
2022-10-23,49
2022-10-30,62
2022-11-06,38
2022-11-13,59
2022-11-20,55
2022-11-27,61
2022-12-04,36
2022-12-11,25
2022-12-18,49
2022-12-25,44
2023-01-01,33
2023-01-08,17
2023-01-15,28
2023-01-22,27
2023-01-29,29
2023-02-05,25
2023-02-12,25
2023-02-19,17
2023-02-26,22
2023-03-05,0
2023-03-12,18
2023-03-19,17
2023-03-26,22
2023-04-02,0
2023-04-09,17
2023-04-16,17
2023-04-23,25
2023-04-30,16
2023-05-07,0
2023-05-14,19
2023-05-21,21
2023-05-28,15
2023-06-04,14
2023-06-11,16
2023-06-18,0
2023-06-25,14
