Kategorie: Alle Kategorien

Woche,lebenslauf: (Deutschland)
2014-11-30,66
2014-12-07,67
2014-12-14,63
2014-12-21,38
2014-12-28,47
2015-01-04,84
2015-01-11,93
2015-01-18,95
2015-01-25,100
2015-02-01,99
2015-02-08,96
2015-02-15,88
2015-02-22,96
2015-03-01,87
2015-03-08,81
2015-03-15,74
2015-03-22,75
2015-03-29,61
2015-04-05,62
2015-04-12,69
2015-04-19,72
2015-04-26,70
2015-05-03,71
2015-05-10,66
2015-05-17,69
2015-05-24,65
2015-05-31,66
2015-06-07,72
2015-06-14,75
2015-06-21,77
2015-06-28,67
2015-07-05,76
2015-07-12,69
2015-07-19,61
2015-07-26,66
2015-08-02,60
2015-08-09,59
2015-08-16,63
2015-08-23,61
2015-08-30,65
2015-09-06,74
2015-09-13,74
2015-09-20,77
2015-09-27,78
2015-10-04,70
2015-10-11,73
2015-10-18,69
2015-10-25,69
2015-11-01,71
2015-11-08,70
2015-11-15,69
2015-11-22,67
2015-11-29,67
2015-12-06,64
2015-12-13,61
2015-12-20,41
2015-12-27,44
2016-01-03,63
2016-01-10,74
2016-01-17,80
2016-01-24,83
2016-01-31,81
2016-02-07,77
2016-02-14,90
2016-02-21,84
2016-02-28,81
2016-03-06,74
2016-03-13,67
2016-03-20,60
2016-03-27,56
2016-04-03,63
2016-04-10,66
2016-04-17,66
2016-04-24,67
2016-05-01,60
2016-05-08,59
2016-05-15,59
2016-05-22,67
2016-05-29,59
2016-06-05,63
2016-06-12,64
2016-06-19,61
2016-06-26,60
2016-07-03,63
2016-07-10,59
2016-07-17,68
2016-07-24,58
2016-07-31,63
2016-08-07,58
2016-08-14,58
2016-08-21,58
2016-08-28,65
2016-09-04,66
2016-09-11,71
2016-09-18,66
2016-09-25,68
2016-10-02,61
2016-10-09,64
2016-10-16,62
2016-10-23,65
2016-10-30,64
2016-11-06,65
2016-11-13,64
2016-11-20,64
2016-11-27,62
2016-12-04,57
2016-12-11,54
2016-12-18,46
2016-12-25,40
2017-01-01,60
2017-01-08,74
2017-01-15,77
2017-01-22,82
2017-01-29,92
2017-02-05,83
2017-02-12,78
2017-02-19,75
2017-02-26,71
2017-03-05,71
2017-03-12,67
2017-03-19,69
2017-03-26,61
2017-04-02,57
2017-04-09,50
2017-04-16,50
2017-04-23,60
2017-04-30,60
2017-05-07,65
2017-05-14,63
2017-05-21,54
2017-05-28,55
2017-06-04,56
2017-06-11,56
2017-06-18,58
2017-06-25,62
2017-07-02,61
2017-07-09,63
2017-07-16,56
2017-07-23,57
2017-07-30,55
2017-08-06,55
2017-08-13,56
2017-08-20,60
2017-08-27,62
2017-09-03,68
2017-09-10,66
2017-09-17,68
2017-09-24,74
2017-10-01,58
2017-10-08,72
2017-10-15,69
2017-10-22,67
2017-10-29,58
2017-11-05,70
2017-11-12,69
2017-11-19,62
2017-11-26,63
2017-12-03,61
2017-12-10,56
2017-12-17,54
2017-12-24,39
2017-12-31,54
2018-01-07,79
2018-01-14,77
2018-01-21,81
2018-01-28,80
2018-02-04,79
2018-02-11,76
2018-02-18,81
2018-02-25,75
2018-03-04,74
2018-03-11,69
2018-03-18,65
2018-03-25,55
2018-04-01,52
2018-04-08,65
2018-04-15,59
2018-04-22,60
2018-04-29,59
2018-05-06,53
2018-05-13,59
2018-05-20,56
2018-05-27,57
2018-06-03,66
2018-06-10,60
2018-06-17,59
2018-06-24,54
2018-07-01,56
2018-07-08,61
2018-07-15,51
2018-07-22,48
2018-07-29,47
2018-08-05,52
2018-08-12,57
2018-08-19,57
2018-08-26,60
2018-09-02,64
2018-09-09,69
2018-09-16,64
2018-09-23,64
2018-09-30,55
2018-10-07,61
2018-10-14,66
2018-10-21,63
2018-10-28,58
2018-11-04,60
2018-11-11,63
2018-11-18,59
2018-11-25,59
2018-12-02,59
2018-12-09,52
2018-12-16,44
2018-12-23,32
2018-12-30,48
2019-01-06,75
2019-01-13,90
2019-01-20,96
2019-01-27,71
2019-02-03,73
2019-02-10,76
2019-02-17,69
2019-02-24,66
2019-03-03,59
2019-03-10,56
2019-03-17,55
2019-03-24,59
2019-03-31,60
2019-04-07,50
2019-04-14,44
2019-04-21,47
2019-04-28,52
2019-05-05,61
2019-05-12,57
2019-05-19,58
2019-05-26,48
2019-06-02,53
2019-06-09,49
2019-06-16,51
2019-06-23,51
2019-06-30,63
2019-07-07,55
2019-07-14,52
2019-07-21,47
2019-07-28,48
2019-08-04,48
2019-08-11,50
2019-08-18,59
2019-08-25,56
2019-09-01,57
2019-09-08,65
2019-09-15,61
2019-09-22,58
2019-09-29,51
2019-10-06,53
2019-10-13,53
2019-10-20,59
2019-10-27,55
2019-11-03,59
2019-11-10,63
2019-11-17,61
2019-11-24,54
