Kategorie: Alle Kategorien

Woche,rezession: (Deutschland)
2014-11-30,21
2014-12-07,19
2014-12-14,17
2014-12-21,19
2014-12-28,13
2015-01-04,14
2015-01-11,20
2015-01-18,19
2015-01-25,20
2015-02-01,16
2015-02-08,17
2015-02-15,16
2015-02-22,15
2015-03-01,14
2015-03-08,18
2015-03-15,15
2015-03-22,13
2015-03-29,12
2015-04-05,13
2015-04-12,14
2015-04-19,17
2015-04-26,14
2015-05-03,13
2015-05-10,11
2015-05-17,15
2015-05-24,11
2015-05-31,12
2015-06-07,13
2015-06-14,12
2015-06-21,12
2015-06-28,13
2015-07-05,13
2015-07-12,13
2015-07-19,12
2015-07-26,10
2015-08-02,10
2015-08-09,10
2015-08-16,10
2015-08-23,15
2015-08-30,12
2015-09-06,10
2015-09-13,15
2015-09-20,11
2015-09-27,12
2015-10-04,13
2015-10-11,12
2015-10-18,14
2015-10-25,12
2015-11-01,14
2015-11-08,15
2015-11-15,15
2015-11-22,15
2015-11-29,15
2015-12-06,16
2015-12-13,14
2015-12-20,11
2015-12-27,11
2016-01-03,12
2016-01-10,14
2016-01-17,16
2016-01-24,11
2016-01-31,14
2016-02-07,15
2016-02-14,16
2016-02-21,12
2016-02-28,14
2016-03-06,15
2016-03-13,14
2016-03-20,14
2016-03-27,12
2016-04-03,16
2016-04-10,15
2016-04-17,16
2016-04-24,16
2016-05-01,12
2016-05-08,13
2016-05-15,10
2016-05-22,15
2016-05-29,13
2016-06-05,13
2016-06-12,13
2016-06-19,19
2016-06-26,11
2016-07-03,11
2016-07-10,11
2016-07-17,10
2016-07-24,12
2016-07-31,11
2016-08-07,10
2016-08-14,9
2016-08-21,8
2016-08-28,9
2016-09-04,11
2016-09-11,10
2016-09-18,9
2016-09-25,12
2016-10-02,13
2016-10-09,10
2016-10-16,12
2016-10-23,14
2016-10-30,13
2016-11-06,18
2016-11-13,12
2016-11-20,17
2016-11-27,13
2016-12-04,10
2016-12-11,15
2016-12-18,11
2016-12-25,10
2017-01-01,11
2017-01-08,14
2017-01-15,13
2017-01-22,13
2017-01-29,13
2017-02-05,11
2017-02-12,13
2017-02-19,13
2017-02-26,14
2017-03-05,12
2017-03-12,13
2017-03-19,16
2017-03-26,14
2017-04-02,12
2017-04-09,11
2017-04-16,12
2017-04-23,15
2017-04-30,11
2017-05-07,17
2017-05-14,13
2017-05-21,11
2017-05-28,12
2017-06-04,14
2017-06-11,12
2017-06-18,12
2017-06-25,13
2017-07-02,11
2017-07-09,12
2017-07-16,10
2017-07-23,11
2017-07-30,11
2017-08-06,12
2017-08-13,11
2017-08-20,12
2017-08-27,13
2017-09-03,12
2017-09-10,12
2017-09-17,12
2017-09-24,12
2017-10-01,13
2017-10-08,15
2017-10-15,14
2017-10-22,15
2017-10-29,13
2017-11-05,15
2017-11-12,16
2017-11-19,17
2017-11-26,16
2017-12-03,13
2017-12-10,17
2017-12-17,15
2017-12-24,12
2017-12-31,12
2018-01-07,16
2018-01-14,14
2018-01-21,17
2018-01-28,16
2018-02-04,16
2018-02-11,13
2018-02-18,17
2018-02-25,15
2018-03-04,18
2018-03-11,17
2018-03-18,15
2018-03-25,14
2018-04-01,15
2018-04-08,16
2018-04-15,33
2018-04-22,17
2018-04-29,12
2018-05-06,13
2018-05-13,17
2018-05-20,16
2018-05-27,15
2018-06-03,16
2018-06-10,15
2018-06-17,14
2018-06-24,16
2018-07-01,19
2018-07-08,15
2018-07-15,16
2018-07-22,15
2018-07-29,14
2018-08-05,16
2018-08-12,19
2018-08-19,15
2018-08-26,17
2018-09-02,17
2018-09-09,16
2018-09-16,16
2018-09-23,19
2018-09-30,15
2018-10-07,16
2018-10-14,16
2018-10-21,21
2018-10-28,20
2018-11-04,19
2018-11-11,22
2018-11-18,17
2018-11-25,24
2018-12-02,25
2018-12-09,22
2018-12-16,21
2018-12-23,20
2018-12-30,23
2019-01-06,26
2019-01-13,27
2019-01-20,23
2019-01-27,27
2019-02-03,21
2019-02-10,37
2019-02-17,28
2019-02-24,21
2019-03-03,24
2019-03-10,26
2019-03-17,31
2019-03-24,32
2019-03-31,26
2019-04-07,20
2019-04-14,18
2019-04-21,21
2019-04-28,22
2019-05-05,21
2019-05-12,18
2019-05-19,19
2019-05-26,19
2019-06-02,20
2019-06-09,16
2019-06-16,20
2019-06-23,21
2019-06-30,19
2019-07-07,31
2019-07-14,26
2019-07-21,26
2019-07-28,28
2019-08-04,39
2019-08-11,100
2019-08-18,63
2019-08-25,85
2019-09-01,41
2019-09-08,44
2019-09-15,38
2019-09-22,47
2019-09-29,48
2019-10-06,38
2019-10-13,34
2019-10-20,32
2019-10-27,29
2019-11-03,34
2019-11-10,50
2019-11-17,36
2019-11-24,31
