Date,stichtag
2011-06-30,2011-06-15
2011-07-31,2011-07-14
2011-08-31,2011-08-16
2011-09-30,2011-09-15
2011-10-31,
2011-11-30,2011-11-15
2011-12-31,2011-12-15
2012-01-31,2012-01-16
2012-02-29,2012-02-14
2012-03-31,2012-03-14
2012-04-30,2012-04-12
2012-05-31,2012-05-15
2012-06-30,2012-06-14
2012-07-31,2012-07-12
2012-08-31,2012-08-14
2012-09-30,2012-09-13
2012-10-31,
2012-11-30,2012-11-14
2012-12-31,2012-12-13
2013-01-31,2013-01-15
2013-02-28,2013-02-13
2013-03-31,2013-03-13
2013-04-30,2013-04-11
2013-05-31,2013-05-13
2013-06-30,2013-06-12
2013-07-31,2013-07-11
2013-08-31,2013-08-13
2013-09-30,2013-09-12
2013-10-31,
2013-11-30,2013-11-13
2013-12-31,2013-12-11
2014-01-31,2014-01-15
2014-02-28,2014-02-12
2014-03-31,2014-03-13
2014-04-30,2014-04-10
2014-05-31,2014-05-13
2014-06-30,2014-06-12
2014-07-31,2014-07-14
2014-08-31,2014-08-12
2014-09-30,2014-09-11
2014-10-31,
2014-11-30,2014-11-12
2014-12-31,2014-12-11
2015-01-31,2015-01-14
2015-02-28,2015-02-11
2015-03-31,2015-03-12
2015-04-30,2015-04-14
2015-05-31,2015-05-12
2015-06-30,2015-06-15
2015-07-31,2015-07-13
2015-08-31,2015-08-12
2015-09-30,2015-09-14
2015-10-31,
2015-11-30,2015-11-12
2015-12-31,2015-12-10
2016-01-31,2016-01-14
2016-02-29,2016-02-15
2016-03-31,2016-03-14
2016-04-30,2016-04-13
2016-05-31,2016-05-12
2016-06-30,2016-06-13
2016-07-31,2016-07-12
2016-08-31,2016-08-11
2016-09-30,2016-09-12
2016-10-31,
2016-11-30,2016-11-14
2016-12-31,2016-12-14
2017-01-31,2017-01-12
2017-02-28,2017-02-13
2017-03-31,2017-03-14
2017-04-30,2017-04-12
2017-05-31,2017-05-15
2017-06-30,2017-06-13
2017-07-31,2017-07-13
2017-08-31,2017-08-14
2017-09-30,2017-09-12
2017-10-31,2017-10-12
2017-11-30,2017-11-14
2017-12-31,2017-12-12
2018-01-31,2018-01-11
2018-02-28,2018-02-12
2018-03-31,2018-03-13
2018-04-30,2018-04-11
2018-05-31,2018-05-14
2018-06-30,2018-06-12
2018-07-31,2018-07-12
2018-08-31,2018-08-13
2018-09-30,2018-09-11
2018-10-31,2018-10-11
2018-11-30,2018-11-12
2018-12-31,2018-12-11
2019-01-31,2019-01-14
2019-02-28,2019-02-13
2019-03-31,2019-03-14
2019-04-30,2019-04-11
2019-05-31,2019-05-13
2019-06-30,2019-06-13
2019-07-31,2019-07-11
2019-08-31,2019-08-12
2019-09-30,2019-09-11
2019-10-31,2019-10-14
2019-11-30,2019-11-13
2019-12-31,2019-12-11
2020-01-31,2020-01-14
2020-02-29,2020-02-12
2020-03-31,2020-03-12
2020-04-30,2020-04-14
2020-05-31,2020-05-14
2020-06-30,2020-06-15
2020-07-31,2020-07-13
2020-08-31,2020-08-11
2020-09-30,2020-09-10
2020-10-31,2020-10-12
2020-11-30,2020-11-11
2020-12-31,2020-12-10
2021-01-31,2021-01-13
2021-02-28,2021-02-11
2021-03-31,2021-03-11
2021-04-30,2021-04-13
2021-05-31,2021-05-12
2021-06-30,2021-06-14
2021-07-31,2021-07-13
2021-08-31,2021-08-12
2021-09-30,2021-09-13
2021-10-31,2021-10-12
2021-11-30,2021-11-11
2021-12-31,2021-12-13
2022-01-31,2022-01-13
2022-02-28,2022-02-14
2022-03-31,2022-03-14
2022-04-30,2022-04-12
2022-05-31,2022-05-12
2022-06-30,2022-06-13
2022-07-31,2022-07-12
2022-08-31,2022-08-11
2022-09-30,2022-09-12
2022-10-31,2022-10-13
2022-11-30,2022-11-14
2022-12-31,2022-12-14
2023-01-31,2023-01-12
