Kategorie: Alle Kategorien

Woche,Arbeitsamt: (Deutschland)
2007-04-29,78
2007-05-06,87
2007-05-13,77
2007-05-20,89
2007-05-27,87
2007-06-03,88
2007-06-10,95
2007-06-17,95
2007-06-24,98
2007-07-01,99
2007-07-08,94
2007-07-15,92
2007-07-22,89
2007-07-29,87
2007-08-05,88
2007-08-12,86
2007-08-19,94
2007-08-26,98
2007-09-02,82
2007-09-09,83
2007-09-16,80
2007-09-23,94
2007-09-30,79
2007-10-07,87
2007-10-14,83
2007-10-21,83
2007-10-28,73
2007-11-04,75
2007-11-11,78
2007-11-18,75
2007-11-25,68
2007-12-02,64
2007-12-09,66
2007-12-16,59
2007-12-23,44
2007-12-30,69
2008-01-06,100
2008-01-13,93
2008-01-20,87
2008-01-27,87
2008-02-03,82
2008-02-10,85
2008-02-17,87
2008-02-24,81
2008-03-02,83
2008-03-09,83
2008-03-16,62
2008-03-23,61
2008-03-30,77
2008-04-06,78
2008-04-13,78
2008-04-20,72
2008-04-27,64
2008-05-04,68
2008-05-11,67
2008-05-18,64
2008-05-25,70
2008-06-01,72
2008-06-08,74
2008-06-15,64
2008-06-22,70
2008-06-29,75
2008-07-06,70
2008-07-13,73
2008-07-20,75
2008-07-27,72
2008-08-03,71
2008-08-10,66
2008-08-17,74
2008-08-24,72
2008-08-31,73
2008-09-07,72
2008-09-14,73
2008-09-21,71
2008-09-28,67
2008-10-05,67
2008-10-12,64
2008-10-19,65
2008-10-26,74
2008-11-02,68
2008-11-09,66
2008-11-16,62
2008-11-23,59
2008-11-30,61
2008-12-07,57
2008-12-14,54
2008-12-21,34
2008-12-28,47
2009-01-04,79
2009-01-11,85
2009-01-18,84
2009-01-25,84
2009-02-01,85
2009-02-08,73
2009-02-15,74
2009-02-22,79
2009-03-01,81
2009-03-08,79
2009-03-15,76
2009-03-22,76
2009-03-29,82
2009-04-05,63
2009-04-12,68
2009-04-19,77
2009-04-26,67
2009-05-03,81
2009-05-10,79
2009-05-17,70
2009-05-24,82
2009-05-31,75
2009-06-07,68
2009-06-14,79
2009-06-21,79
2009-06-28,80
2009-07-05,76
2009-07-12,75
2009-07-19,76
2009-07-26,77
2009-08-02,74
2009-08-09,72
2009-08-16,81
2009-08-23,82
2009-08-30,83
2009-09-06,72
2009-09-13,70
2009-09-20,66
2009-09-27,68
2009-10-04,60
2009-10-11,62
2009-10-18,56
2009-10-25,58
2009-11-01,59
2009-11-08,53
2009-11-15,49
2009-11-22,49
2009-11-29,48
2009-12-06,44
2009-12-13,40
2009-12-20,28
2009-12-27,32
2010-01-03,53
2010-01-10,50
2010-01-17,49
2010-01-24,48
2010-01-31,48
2010-02-07,46
2010-02-14,43
2010-02-21,50
2010-02-28,44
2010-03-07,47
2010-03-14,43
2010-03-21,39
2010-03-28,40
2010-04-04,40
2010-04-11,43
2010-04-18,47
2010-04-25,42
2010-05-02,42
2010-05-09,36
2010-05-16,40
2010-05-23,37
2010-05-30,38
2010-06-06,38
2010-06-13,38
2010-06-20,41
2010-06-27,39
2010-07-04,39
2010-07-11,40
2010-07-18,44
2010-07-25,44
2010-08-01,46
2010-08-08,46
2010-08-15,41
2010-08-22,47
2010-08-29,46
2010-09-05,37
2010-09-12,38
2010-09-19,41
2010-09-26,40
2010-10-03,45
2010-10-10,37
2010-10-17,37
2010-10-24,38
2010-10-31,38
2010-11-07,37
2010-11-14,33
2010-11-21,35
2010-11-28,32
2010-12-05,30
2010-12-12,29
2010-12-19,28
2010-12-26,30
2011-01-02,57
2011-01-09,59
2011-01-16,59
2011-01-23,56
2011-01-30,56
2011-02-06,52
2011-02-13,53
2011-02-20,51
2011-02-27,56
2011-03-06,52
2011-03-13,53
2011-03-20,53
2011-03-27,58
2011-04-03,55
2011-04-10,54
2011-04-17,37
2011-04-24,43
2011-05-01,54
2011-05-08,50
2011-05-15,52
2011-05-22,51
2011-05-29,42
2011-06-05,46
2011-06-12,45
2011-06-19,46
2011-06-26,53
2011-07-03,50
2011-07-10,51
2011-07-17,49
2011-07-24,49
2011-07-31,48
2011-08-07,46
2011-08-14,47
2011-08-21,47
2011-08-28,54
2011-09-04,48
2011-09-11,48
2011-09-18,46
2011-09-25,49
2011-10-02,42
2011-10-09,51
2011-10-16,46
2011-10-23,48
2011-10-30,43
2011-11-06,46
2011-11-13,44
2011-11-20,35
2011-11-27,35
2011-12-04,35
2011-12-11,34
2011-12-18,26
2011-12-25,28
2012-01-01,41
2012-01-08,42
2012-01-15,42
2012-01-22,44
2012-01-29,44
2012-02-05,40
2012-02-12,39
2012-02-19,39
2012-02-26,44
2012-03-04,41
2012-03-11,37
2012-03-18,37
2012-03-25,38
2012-04-01,29
2012-04-08,31
2012-04-15,38
2012-04-22,36
2012-04-29,29
