Kategorie: Alle Kategorien

Woche,Kündigung: (Deutschland)
2007-04-29,59
2007-05-06,57
2007-05-13,52
2007-05-20,60
2007-05-27,67
2007-06-03,54
2007-06-10,63
2007-06-17,64
2007-06-24,75
2007-07-01,64
2007-07-08,61
2007-07-15,61
2007-07-22,67
2007-07-29,72
2007-08-05,58
2007-08-12,62
2007-08-19,62
2007-08-26,74
2007-09-02,57
2007-09-09,62
2007-09-16,64
2007-09-23,79
2007-09-30,55
2007-10-07,58
2007-10-14,60
2007-10-21,68
2007-10-28,72
2007-11-04,64
2007-11-11,70
2007-11-18,73
2007-11-25,87
2007-12-02,60
2007-12-09,61
2007-12-16,58
2007-12-23,45
2007-12-30,48
2008-01-06,59
2008-01-13,64
2008-01-20,66
2008-01-27,74
2008-02-03,59
2008-02-10,60
2008-02-17,67
2008-02-24,76
2008-03-02,59
2008-03-09,64
2008-03-16,51
2008-03-23,65
2008-03-30,68
2008-04-06,64
2008-04-13,66
2008-04-20,66
2008-04-27,66
2008-05-04,58
2008-05-11,58
2008-05-18,59
2008-05-25,74
2008-06-01,63
2008-06-08,59
2008-06-15,62
2008-06-22,71
2008-06-29,68
2008-07-06,58
2008-07-13,65
2008-07-20,61
2008-07-27,72
2008-08-03,59
2008-08-10,58
2008-08-17,57
2008-08-24,71
2008-08-31,61
2008-09-07,58
2008-09-14,58
2008-09-21,67
2008-09-28,65
2008-10-05,56
2008-10-12,59
2008-10-19,59
2008-10-26,66
2008-11-02,61
2008-11-09,62
2008-11-16,69
2008-11-23,77
2008-11-30,60
2008-12-07,59
2008-12-14,59
2008-12-21,37
2008-12-28,47
2009-01-04,55
2009-01-11,58
2009-01-18,59
2009-01-25,69
2009-02-01,58
2009-02-08,60
2009-02-15,59
2009-02-22,69
2009-03-01,63
2009-03-08,58
2009-03-15,61
2009-03-22,64
2009-03-29,68
2009-04-05,49
2009-04-12,51
2009-04-19,61
2009-04-26,66
2009-05-03,60
2009-05-10,60
2009-05-17,50
2009-05-24,68
2009-05-31,55
2009-06-07,55
2009-06-14,62
2009-06-21,65
2009-06-28,69
2009-07-05,57
2009-07-12,59
2009-07-19,60
2009-07-26,70
2009-08-02,59
2009-08-09,59
2009-08-16,61
2009-08-23,68
2009-08-30,61
2009-09-06,57
2009-09-13,58
2009-09-20,62
2009-09-27,72
2009-10-04,65
2009-10-11,62
2009-10-18,58
2009-10-25,66
2009-11-01,63
2009-11-08,57
2009-11-15,66
2009-11-22,76
2009-11-29,66
2009-12-06,58
2009-12-13,56
2009-12-20,43
2009-12-27,50
2010-01-03,56
2010-01-10,58
2010-01-17,63
2010-01-24,66
2010-01-31,58
2010-02-07,58
2010-02-14,58
2010-02-21,70
2010-02-28,67
2010-03-07,59
2010-03-14,59
2010-03-21,65
2010-03-28,62
2010-04-04,49
2010-04-11,56
2010-04-18,55
2010-04-25,66
2010-05-02,57
2010-05-09,51
2010-05-16,56
2010-05-23,62
2010-05-30,58
2010-06-06,59
2010-06-13,56
2010-06-20,59
2010-06-27,67
2010-07-04,54
2010-07-11,56
2010-07-18,56
2010-07-25,63
2010-08-01,58
2010-08-08,56
2010-08-15,59
2010-08-22,65
2010-08-29,65
2010-09-05,55
2010-09-12,53
2010-09-19,60
2010-09-26,68
2010-10-03,53
2010-10-10,56
2010-10-17,55
2010-10-24,62
2010-10-31,57
2010-11-07,58
2010-11-14,62
2010-11-21,66
2010-11-28,65
2010-12-05,55
2010-12-12,58
2010-12-19,45
2010-12-26,52
2011-01-02,59
2011-01-09,66
2011-01-16,64
2011-01-23,78
2011-01-30,73
2011-02-06,61
2011-02-13,59
2011-02-20,77
2011-02-27,74
2011-03-06,62
2011-03-13,58
2011-03-20,68
2011-03-27,78
2011-04-03,60
2011-04-10,67
2011-04-17,60
2011-04-24,71
2011-05-01,66
2011-05-08,68
2011-05-15,67
2011-05-22,75
2011-05-29,73
2011-06-05,67
2011-06-12,67
2011-06-19,75
2011-06-26,94
2011-07-03,71
2011-07-10,69
2011-07-17,72
2011-07-24,85
2011-07-31,75
2011-08-07,69
2011-08-14,73
2011-08-21,75
2011-08-28,92
2011-09-04,74
2011-09-11,74
2011-09-18,69
2011-09-25,100
2011-10-02,69
2011-10-09,75
2011-10-16,71
2011-10-23,81
2011-10-30,69
2011-11-06,69
2011-11-13,77
2011-11-20,92
2011-11-27,100
2011-12-04,68
2011-12-11,68
2011-12-18,64
2011-12-25,60
2012-01-01,71
2012-01-08,75
2012-01-15,71
2012-01-22,82
2012-01-29,86
2012-02-05,69
2012-02-12,71
2012-02-19,76
2012-02-26,91
2012-03-04,71
2012-03-11,77
2012-03-18,76
2012-03-25,87
2012-04-01,54
2012-04-08,56
2012-04-15,70
2012-04-22,81
2012-04-29,68
