Kategorie: Alle Kategorien

Woche,stepstone: (Deutschland)
2007-04-29,27
2007-05-06,25
2007-05-13,21
2007-05-20,26
2007-05-27,24
2007-06-03,26
2007-06-10,27
2007-06-17,29
2007-06-24,30
2007-07-01,25
2007-07-08,30
2007-07-15,29
2007-07-22,30
2007-07-29,28
2007-08-05,27
2007-08-12,28
2007-08-19,30
2007-08-26,29
2007-09-02,27
2007-09-09,28
2007-09-16,28
2007-09-23,27
2007-09-30,26
2007-10-07,28
2007-10-14,26
2007-10-21,30
2007-10-28,27
2007-11-04,27
2007-11-11,24
2007-11-18,27
2007-11-25,25
2007-12-02,22
2007-12-09,23
2007-12-16,20
2007-12-23,9
2007-12-30,22
2008-01-06,25
2008-01-13,29
2008-01-20,26
2008-01-27,25
2008-02-03,27
2008-02-10,28
2008-02-17,27
2008-02-24,28
2008-03-02,24
2008-03-09,27
2008-03-16,26
2008-03-23,24
2008-03-30,25
2008-04-06,26
2008-04-13,26
2008-04-20,28
2008-04-27,21
2008-05-04,26
2008-05-11,26
2008-05-18,26
2008-05-25,24
2008-06-01,23
2008-06-08,27
2008-06-15,28
2008-06-22,26
2008-06-29,25
2008-07-06,27
2008-07-13,24
2008-07-20,28
2008-07-27,24
2008-08-03,24
2008-08-10,28
2008-08-17,27
2008-08-24,29
2008-08-31,27
2008-09-07,29
2008-09-14,26
2008-09-21,24
2008-09-28,24
2008-10-05,28
2008-10-12,25
2008-10-19,28
2008-10-26,26
2008-11-02,27
2008-11-09,26
2008-11-16,28
2008-11-23,24
2008-11-30,25
2008-12-07,26
2008-12-14,20
2008-12-21,10
2008-12-28,18
2009-01-04,28
2009-01-11,27
2009-01-18,32
2009-01-25,31
2009-02-01,28
2009-02-08,32
2009-02-15,29
2009-02-22,31
2009-03-01,29
2009-03-08,30
2009-03-15,31
2009-03-22,30
2009-03-29,29
2009-04-05,24
2009-04-12,26
2009-04-19,31
2009-04-26,27
2009-05-03,29
2009-05-10,31
2009-05-17,25
2009-05-24,27
2009-05-31,26
2009-06-07,29
2009-06-14,31
2009-06-21,28
2009-06-28,29
2009-07-05,31
2009-07-12,29
2009-07-19,29
2009-07-26,34
2009-08-02,33
2009-08-09,31
2009-08-16,31
2009-08-23,29
2009-08-30,30
2009-09-06,33
2009-09-13,30
2009-09-20,29
2009-09-27,31
2009-10-04,30
2009-10-11,27
2009-10-18,29
2009-10-25,28
2009-11-01,28
2009-11-08,29
2009-11-15,29
2009-11-22,28
2009-11-29,26
2009-12-06,26
2009-12-13,24
2009-12-20,17
2009-12-27,17
2010-01-03,30
2010-01-10,29
2010-01-17,31
2010-01-24,31
2010-01-31,31
2010-02-07,32
2010-02-14,33
2010-02-21,32
2010-02-28,35
2010-03-07,35
2010-03-14,36
2010-03-21,30
2010-03-28,32
2010-04-04,32
2010-04-11,34
2010-04-18,32
2010-04-25,33
2010-05-02,33
2010-05-09,27
2010-05-16,30
2010-05-23,28
2010-05-30,26
2010-06-06,33
2010-06-13,31
2010-06-20,31
2010-06-27,31
2010-07-04,31
2010-07-11,35
2010-07-18,32
2010-07-25,33
2010-08-01,35
2010-08-08,34
2010-08-15,32
2010-08-22,36
2010-08-29,33
2010-09-05,37
2010-09-12,31
2010-09-19,36
2010-09-26,33
2010-10-03,37
2010-10-10,35
2010-10-17,35
2010-10-24,34
2010-10-31,36
2010-11-07,36
2010-11-14,34
2010-11-21,34
2010-11-28,29
2010-12-05,29
2010-12-12,31
2010-12-19,23
2010-12-26,24
2011-01-02,42
2011-01-09,46
2011-01-16,50
2011-01-23,49
2011-01-30,47
2011-02-06,47
2011-02-13,44
2011-02-20,49
2011-02-27,48
2011-03-06,46
2011-03-13,44
2011-03-20,49
2011-03-27,44
2011-04-03,46
2011-04-10,48
2011-04-17,41
2011-04-24,43
2011-05-01,48
2011-05-08,50
2011-05-15,51
2011-05-22,51
2011-05-29,42
2011-06-05,51
2011-06-12,49
2011-06-19,48
2011-06-26,52
2011-07-03,51
2011-07-10,51
2011-07-17,51
2011-07-24,51
2011-07-31,54
2011-08-07,52
2011-08-14,54
2011-08-21,54
2011-08-28,52
2011-09-04,51
2011-09-11,53
2011-09-18,54
2011-09-25,56
2011-10-02,53
2011-10-09,50
2011-10-16,53
2011-10-23,51
2011-10-30,53
2011-11-06,73
2011-11-13,84
2011-11-20,89
2011-11-27,89
2011-12-04,81
2011-12-11,62
2011-12-18,53
2011-12-25,67
2012-01-01,97
2012-01-08,97
2012-01-15,100
2012-01-22,87
2012-01-29,82
2012-02-05,81
2012-02-12,86
2012-02-19,82
2012-02-26,85
2012-03-04,80
2012-03-11,87
2012-03-18,79
2012-03-25,74
2012-04-01,66
2012-04-08,71
2012-04-15,76
2012-04-22,75
2012-04-29,71
