Kategorie: Alle Kategorien

Woche,Bewerbung: (Deutschland)
2014-11-30,61
2014-12-07,59
2014-12-14,58
2014-12-21,30
2014-12-28,39
2015-01-04,79
2015-01-11,89
2015-01-18,87
2015-01-25,82
2015-02-01,81
2015-02-08,79
2015-02-15,78
2015-02-22,81
2015-03-01,75
2015-03-08,72
2015-03-15,70
2015-03-22,67
2015-03-29,59
2015-04-05,58
2015-04-12,66
2015-04-19,66
2015-04-26,64
2015-05-03,68
2015-05-10,64
2015-05-17,75
2015-05-24,68
2015-05-31,70
2015-06-07,72
2015-06-14,80
2015-06-21,88
2015-06-28,83
2015-07-05,100
2015-07-12,93
2015-07-19,71
2015-07-26,72
2015-08-02,70
2015-08-09,70
2015-08-16,72
2015-08-23,74
2015-08-30,73
2015-09-06,72
2015-09-13,76
2015-09-20,75
2015-09-27,72
2015-10-04,69
2015-10-11,72
2015-10-18,69
2015-10-25,71
2015-11-01,68
2015-11-08,68
2015-11-15,67
2015-11-22,65
2015-11-29,63
2015-12-06,60
2015-12-13,56
2015-12-20,30
2015-12-27,36
2016-01-03,72
2016-01-10,80
2016-01-17,72
2016-01-24,74
2016-01-31,75
2016-02-07,70
2016-02-14,76
2016-02-21,78
2016-02-28,73
2016-03-06,71
2016-03-13,66
2016-03-20,60
2016-03-27,60
2016-04-03,66
2016-04-10,68
2016-04-17,70
2016-04-24,67
2016-05-01,60
2016-05-08,68
2016-05-15,63
2016-05-22,68
2016-05-29,70
2016-06-05,67
2016-06-12,67
2016-06-19,69
2016-06-26,73
2016-07-03,80
2016-07-10,87
2016-07-17,60
2016-07-24,64
2016-07-31,69
2016-08-07,66
2016-08-14,63
2016-08-21,67
2016-08-28,74
2016-09-04,73
2016-09-11,70
2016-09-18,72
2016-09-25,66
2016-10-02,58
2016-10-09,64
2016-10-16,62
2016-10-23,64
2016-10-30,58
2016-11-06,58
2016-11-13,62
2016-11-20,58
2016-11-27,54
2016-12-04,60
2016-12-11,55
2016-12-18,43
2016-12-25,35
2017-01-01,64
2017-01-08,77
2017-01-15,75
2017-01-22,76
2017-01-29,76
2017-02-05,78
2017-02-12,77
2017-02-19,76
2017-02-26,63
2017-03-05,65
2017-03-12,65
2017-03-19,62
2017-03-26,59
2017-04-02,59
2017-04-09,52
2017-04-16,52
2017-04-23,59
2017-04-30,56
2017-05-07,65
2017-05-14,64
2017-05-21,55
2017-05-28,62
2017-06-04,64
2017-06-11,65
2017-06-18,64
2017-06-25,74
2017-07-02,81
2017-07-09,99
2017-07-16,65
2017-07-23,67
2017-07-30,67
2017-08-06,65
2017-08-13,65
2017-08-20,63
2017-08-27,64
2017-09-03,63
2017-09-10,65
2017-09-17,66
2017-09-24,63
2017-10-01,58
2017-10-08,65
2017-10-15,62
2017-10-22,59
2017-10-29,51
2017-11-05,64
2017-11-12,60
2017-11-19,60
2017-11-26,56
2017-12-03,54
2017-12-10,53
2017-12-17,43
2017-12-24,31
2017-12-31,54
2018-01-07,75
2018-01-14,70
2018-01-21,69
2018-01-28,71
2018-02-04,71
2018-02-11,63
2018-02-18,68
2018-02-25,66
2018-03-04,63
2018-03-11,62
2018-03-18,61
2018-03-25,53
2018-04-01,51
2018-04-08,58
2018-04-15,57
2018-04-22,59
2018-04-29,55
2018-05-06,48
2018-05-13,58
2018-05-20,55
2018-05-27,56
2018-06-03,59
2018-06-10,65
2018-06-17,63
2018-06-24,62
2018-07-01,69
2018-07-08,80
2018-07-15,59
2018-07-22,53
2018-07-29,58
2018-08-05,59
2018-08-12,61
2018-08-19,61
2018-08-26,61
2018-09-02,60
2018-09-09,62
2018-09-16,62
2018-09-23,63
2018-09-30,56
2018-10-07,59
2018-10-14,58
2018-10-21,58
2018-10-28,51
2018-11-04,57
2018-11-11,58
2018-11-18,53
2018-11-25,50
2018-12-02,51
2018-12-09,48
2018-12-16,42
2018-12-23,23
2018-12-30,42
2019-01-06,70
2019-01-13,68
2019-01-20,67
2019-01-27,67
2019-02-03,63
2019-02-10,63
2019-02-17,62
2019-02-24,59
2019-03-03,57
2019-03-10,56
2019-03-17,54
2019-03-24,56
2019-03-31,52
2019-04-07,54
2019-04-14,44
2019-04-21,43
2019-04-28,48
2019-05-05,53
2019-05-12,54
2019-05-19,55
2019-05-26,48
2019-06-02,51
2019-06-09,51
2019-06-16,53
2019-06-23,56
2019-06-30,62
2019-07-07,71
2019-07-14,58
2019-07-21,54
2019-07-28,48
2019-08-04,52
2019-08-11,53
2019-08-18,55
2019-08-25,56
2019-09-01,51
2019-09-08,57
2019-09-15,56
2019-09-22,60
2019-09-29,51
2019-10-06,51
2019-10-13,50
2019-10-20,52
2019-10-27,46
2019-11-03,54
2019-11-10,49
2019-11-17,50
2019-11-24,45
