Kategorie: Alle Kategorien

Woche,Indeed: (Deutschland)
2014-11-30,48
2014-12-07,51
2014-12-14,41
2014-12-21,28
2014-12-28,33
2015-01-04,43
2015-01-11,50
2015-01-18,53
2015-01-25,59
2015-02-01,59
2015-02-08,56
2015-02-15,54
2015-02-22,53
2015-03-01,52
2015-03-08,55
2015-03-15,53
2015-03-22,51
2015-03-29,45
2015-04-05,48
2015-04-12,52
2015-04-19,50
2015-04-26,45
2015-05-03,47
2015-05-10,48
2015-05-17,49
2015-05-24,47
2015-05-31,47
2015-06-07,47
2015-06-14,50
2015-06-21,48
2015-06-28,47
2015-07-05,48
2015-07-12,50
2015-07-19,48
2015-07-26,50
2015-08-02,52
2015-08-09,46
2015-08-16,47
2015-08-23,47
2015-08-30,48
2015-09-06,51
2015-09-13,47
2015-09-20,48
2015-09-27,52
2015-10-04,52
2015-10-11,54
2015-10-18,53
2015-10-25,51
2015-11-01,54
2015-11-08,54
2015-11-15,52
2015-11-22,48
2015-11-29,48
2015-12-06,49
2015-12-13,42
2015-12-20,31
2015-12-27,33
2016-01-03,43
2016-01-10,48
2016-01-17,50
2016-01-24,47
2016-01-31,54
2016-02-07,49
2016-02-14,49
2016-02-21,49
2016-02-28,51
2016-03-06,47
2016-03-13,47
2016-03-20,46
2016-03-27,45
2016-04-03,44
2016-04-10,45
2016-04-17,45
2016-04-24,43
2016-05-01,40
2016-05-08,46
2016-05-15,41
2016-05-22,43
2016-05-29,44
2016-06-05,43
2016-06-12,42
2016-06-19,45
2016-06-26,43
2016-07-03,43
2016-07-10,41
2016-07-17,42
2016-07-24,42
2016-07-31,44
2016-08-07,45
2016-08-14,49
2016-08-21,51
2016-08-28,49
2016-09-04,47
2016-09-11,44
2016-09-18,45
2016-09-25,48
2016-10-02,44
2016-10-09,46
2016-10-16,47
2016-10-23,50
2016-10-30,48
2016-11-06,48
2016-11-13,54
2016-11-20,44
2016-11-27,44
2016-12-04,43
2016-12-11,40
2016-12-18,35
2016-12-25,31
2017-01-01,45
2017-01-08,49
2017-01-15,50
2017-01-22,51
2017-01-29,49
2017-02-05,48
2017-02-12,53
2017-02-19,49
2017-02-26,52
2017-03-05,51
2017-03-12,53
2017-03-19,54
2017-03-26,53
2017-04-02,46
2017-04-09,49
2017-04-16,46
2017-04-23,46
2017-04-30,44
2017-05-07,50
2017-05-14,50
2017-05-21,47
2017-05-28,46
2017-06-04,47
2017-06-11,52
2017-06-18,47
2017-06-25,49
2017-07-02,50
2017-07-09,50
2017-07-16,47
2017-07-23,48
2017-07-30,51
2017-08-06,56
2017-08-13,53
2017-08-20,56
2017-08-27,53
2017-09-03,52
2017-09-10,54
2017-09-17,62
2017-09-24,66
2017-10-01,56
2017-10-08,60
2017-10-15,62
2017-10-22,59
2017-10-29,54
2017-11-05,60
2017-11-12,64
2017-11-19,57
2017-11-26,53
2017-12-03,53
2017-12-10,50
2017-12-17,46
2017-12-24,40
2017-12-31,58
2018-01-07,63
2018-01-14,62
2018-01-21,59
2018-01-28,61
2018-02-04,58
2018-02-11,56
2018-02-18,61
2018-02-25,61
2018-03-04,58
2018-03-11,60
2018-03-18,59
2018-03-25,48
2018-04-01,52
2018-04-08,55
2018-04-15,59
2018-04-22,58
2018-04-29,48
2018-05-06,48
2018-05-13,52
2018-05-20,54
2018-05-27,47
2018-06-03,53
2018-06-10,52
2018-06-17,53
2018-06-24,52
2018-07-01,51
2018-07-08,56
2018-07-15,54
2018-07-22,50
2018-07-29,51
2018-08-05,49
2018-08-12,53
2018-08-19,54
2018-08-26,53
2018-09-02,51
2018-09-09,55
2018-09-16,57
2018-09-23,55
2018-09-30,49
2018-10-07,55
2018-10-14,66
2018-10-21,81
2018-10-28,75
2018-11-04,84
2018-11-11,83
2018-11-18,75
2018-11-25,72
2018-12-02,74
2018-12-09,61
2018-12-16,55
2018-12-23,36
2018-12-30,80
2019-01-06,99
2019-01-13,94
2019-01-20,95
2019-01-27,98
2019-02-03,96
2019-02-10,93
2019-02-17,98
2019-02-24,86
2019-03-03,80
2019-03-10,80
2019-03-17,79
2019-03-24,82
2019-03-31,75
2019-04-07,74
2019-04-14,58
2019-04-21,68
2019-04-28,71
2019-05-05,88
2019-05-12,85
2019-05-19,83
2019-05-26,76
2019-06-02,80
2019-06-09,74
2019-06-16,74
2019-06-23,73
2019-06-30,73
2019-07-07,81
2019-07-14,79
2019-07-21,74
2019-07-28,70
2019-08-04,74
2019-08-11,82
2019-08-18,84
2019-08-25,80
2019-09-01,77
2019-09-08,81
2019-09-15,81
2019-09-22,84
2019-09-29,75
2019-10-06,88
2019-10-13,90
2019-10-20,100
2019-10-27,84
2019-11-03,97
2019-11-10,97
2019-11-17,98
2019-11-24,88
