Date,stepstone,indeed,jobbörse,arbeitsamt,bewerbung
2011-05-01,49.0,14.0,75.0,86.0,63.0
2011-05-08,50.0,14.0,80.0,84.0,68.0
2011-05-15,52.0,14.0,80.0,87.0,73.0
2011-05-22,52.0,15.0,80.0,83.0,73.0
2011-05-29,42.0,13.0,69.0,73.0,60.0
2011-06-05,50.0,16.0,79.0,79.0,74.0
2011-06-12,49.0,13.0,80.0,74.0,65.0
2011-06-19,49.0,15.0,81.0,78.0,74.0
2011-06-26,54.0,15.0,85.0,87.0,80.0
2011-07-03,52.0,16.0,92.0,87.0,88.0
2011-07-10,52.0,17.0,85.0,84.0,85.0
2011-07-17,52.0,16.0,84.0,83.0,69.0
2011-07-24,51.0,15.0,90.0,84.0,73.0
2011-07-31,54.0,16.0,87.0,81.0,69.0
2011-08-07,53.0,15.0,91.0,77.0,73.0
2011-08-14,55.0,16.0,96.0,82.0,73.0
2011-08-21,55.0,15.0,93.0,74.0,71.0
2011-08-28,53.0,16.0,90.0,89.0,72.0
2011-09-04,51.0,16.0,95.0,78.0,73.0
2011-09-11,54.0,17.0,95.0,80.0,74.0
2011-09-18,54.0,17.0,92.0,75.0,76.0
2011-09-25,57.0,17.0,90.0,83.0,76.0
2011-10-02,53.0,19.0,89.0,75.0,68.0
2011-10-09,50.0,18.0,84.0,82.0,74.0
2011-10-16,54.0,19.0,72.0,75.0,71.0
2011-10-23,52.0,18.0,74.0,79.0,70.0
2011-10-30,54.0,18.0,68.0,69.0,61.0
2011-11-06,74.0,20.0,74.0,80.0,68.0
2011-11-13,86.0,19.0,71.0,76.0,70.0
2011-11-20,95.0,18.0,72.0,61.0,66.0
2011-11-27,100.0,18.0,69.0,60.0,65.0
2011-12-04,82.0,19.0,68.0,57.0,62.0
2011-12-11,63.0,17.0,62.0,58.0,57.0
2011-12-18,54.0,17.0,57.0,44.0,42.0
2011-12-25,68.0,17.0,53.0,44.0,38.0
2012-01-01,98.0,20.0,80.0,69.0,63.0
2012-01-08,98.0,21.0,83.0,70.0,78.0
2012-01-15,95.0,23.0,88.0,68.0,74.0
2012-01-22,99.0,23.0,99.0,73.0,77.0
2012-01-29,83.0,23.0,94.0,70.0,74.0
2012-02-05,82.0,24.0,93.0,65.0,75.0
2012-02-12,84.0,24.0,95.0,64.0,76.0
2012-02-19,80.0,25.0,90.0,64.0,72.0
2012-02-26,89.0,26.0,89.0,74.0,79.0
2012-03-04,81.0,24.0,88.0,66.0,75.0
2012-03-11,87.0,27.0,81.0,60.0,69.0
2012-03-18,80.0,25.0,79.0,64.0,69.0
2012-03-25,77.0,23.0,73.0,65.0,66.0
2012-04-01,68.0,21.0,61.0,50.0,56.0
2012-04-08,71.0,22.0,66.0,57.0,58.0
2012-04-15,76.0,27.0,71.0,63.0,69.0
2012-04-22,77.0,25.0,69.0,59.0,67.0
2012-04-29,72.0,21.0,59.0,51.0,58.0
2012-05-06,77.0,24.0,69.0,55.0,70.0
2012-05-13,66.0,23.0,61.0,49.0,63.0
2012-05-20,75.0,24.0,69.0,57.0,67.0
2012-05-27,71.0,22.0,64.0,54.0,64.0
2012-06-03,72.0,22.0,67.0,54.0,67.0
2012-06-10,76.0,24.0,83.0,62.0,71.0
2012-06-17,77.0,25.0,83.0,63.0,79.0
2012-06-24,76.0,24.0,77.0,65.0,79.0
2012-07-01,75.0,25.0,72.0,64.0,88.0
2012-07-08,79.0,26.0,75.0,62.0,96.0
2012-07-15,81.0,26.0,69.0,66.0,72.0
2012-07-22,79.0,26.0,67.0,58.0,64.0
2012-07-29,76.0,25.0,69.0,69.0,68.0
2012-08-05,80.0,26.0,70.0,70.0,71.0
2012-08-12,81.0,27.0,69.0,59.0,69.0
2012-08-19,78.0,24.0,73.0,61.0,71.0
2012-08-26,81.0,25.0,73.0,69.0,71.0
2012-09-02,81.0,29.0,74.0,65.0,71.0
2012-09-09,78.0,25.0,73.0,62.0,74.0
2012-09-16,73.0,27.0,73.0,60.0,72.0
2012-09-23,77.0,28.0,70.0,84.0,73.0
2012-09-30,72.0,29.0,65.0,79.0,65.0
2012-10-07,79.0,30.0,78.0,73.0,66.0
2012-10-14,80.0,33.0,81.0,71.0,68.0
2012-10-21,78.0,32.0,81.0,59.0,65.0
2012-10-28,75.0,30.0,74.0,52.0,57.0
2012-11-04,76.0,33.0,88.0,61.0,64.0
2012-11-11,74.0,31.0,81.0,58.0,67.0
2012-11-18,79.0,29.0,80.0,56.0,65.0
2012-11-25,73.0,33.0,74.0,63.0,61.0
2012-12-02,69.0,31.0,67.0,54.0,52.0
2012-12-09,67.0,28.0,65.0,51.0,55.0
2012-12-16,59.0,27.0,58.0,46.0,46.0
2012-12-23,40.0,20.0,35.0,32.0,29.0
2012-12-30,61.0,27.0,61.0,43.0,51.0
2013-01-06,84.0,36.0,84.0,66.0,77.0
2013-01-13,82.0,39.0,80.0,65.0,75.0
2013-01-20,82.0,36.0,86.0,68.0,76.0
2013-01-27,80.0,36.0,82.0,73.0,77.0
2013-02-03,84.0,38.0,82.0,82.0,73.0
2013-02-10,83.0,35.0,82.0,80.0,72.0
2013-02-17,85.0,38.0,95.0,79.0,75.0
2013-02-24,91.0,39.0,91.0,86.0,76.0
2013-03-03,81.0,39.0,94.0,78.0,68.0
2013-03-10,82.0,41.0,95.0,75.0,69.0
2013-03-17,85.0,42.0,92.0,67.0,68.0
2013-03-24,76.0,38.0,77.0,57.0,57.0
2013-03-31,79.0,35.0,77.0,61.0,58.0
2013-04-07,88.0,44.0,91.0,67.0,68.0
2013-04-14,86.0,41.0,86.0,59.0,65.0
2013-04-21,75.0,42.0,82.0,57.0,65.0
2013-04-28,71.0,38.0,73.0,50.0,62.0
2013-05-05,70.0,36.0,70.0,45.0,59.0
2013-05-12,78.0,40.0,80.0,58.0,64.0
2013-05-19,73.0,39.0,71.0,48.0,63.0
2013-05-26,76.0,41.0,75.0,54.0,64.0
2013-06-02,77.0,42.0,80.0,72.0,64.0
2013-06-09,93.0,44.0,78.0,76.0,75.0
2013-06-16,75.0,42.0,80.0,72.0,71.0
2013-06-23,82.0,47.0,87.0,82.0,78.0
2013-06-30,84.0,47.0,84.0,68.0,90.0
2013-07-07,80.0,47.0,84.0,62.0,100.0
2013-07-14,81.0,44.0,82.0,60.0,72.0
2013-07-21,77.0,46.0,82.0,58.0,63.0
2013-07-28,84.0,47.0,83.0,65.0,69.0
2013-08-04,83.0,46.0,86.0,61.0,74.0
2013-08-11,83.0,46.0,82.0,59.0,74.0
2013-08-18,89.0,47.0,85.0,66.0,68.0
2013-08-25,81.0,46.0,78.0,62.0,71.0
2013-09-01,84.0,46.0,77.0,67.0,72.0
2013-09-08,83.0,47.0,77.0,59.0,73.0
2013-09-15,79.0,46.0,77.0,57.0,71.0
2013-09-22,80.0,47.0,76.0,62.0,74.0
2013-09-29,79.0,41.0,66.0,56.0,66.0
2013-10-06,82.0,47.0,75.0,61.0,70.0
2013-10-13,84.0,48.0,78.0,69.0,72.0
2013-10-20,84.0,48.0,85.0,67.0,69.0
2013-10-27,78.0,47.0,79.0,64.0,64.0
2013-11-03,88.0,52.0,85.0,65.0,69.0
2013-11-10,82.0,48.0,81.0,58.0,70.0
2013-11-17,79.0,48.0,81.0,52.0,67.0
2013-11-24,76.0,48.0,70.0,52.0,66.0
2013-12-01,68.0,45.0,70.0,50.0,61.0
2013-12-08,72.0,43.0,68.0,47.0,59.0
2013-12-15,66.0,41.0,64.0,46.0,54.0
2013-12-22,37.0,26.0,35.0,27.0,28.0
2013-12-29,58.0,37.0,55.0,39.0,48.0
2014-01-05,80.0,52.0,88.0,64.0,79.0
2014-01-12,85.0,56.0,88.0,64.0,84.0
2014-01-19,81.0,54.0,83.0,64.0,73.0
2014-01-26,85.0,56.0,85.0,66.0,76.0
2014-02-02,80.0,60.0,86.0,62.0,77.0
2014-02-09,83.0,59.0,80.0,59.0,80.0
2014-02-16,88.0,58.0,85.0,69.0,77.0
2014-02-23,84.0,60.0,81.0,78.0,74.0
2014-03-02,78.0,59.0,83.0,75.0,67.0
2014-03-09,85.0,64.0,90.0,66.0,72.0
2014-03-16,91.0,60.0,88.0,65.0,68.0
2014-03-23,86.0,61.0,89.0,69.0,70.0
2014-03-30,86.0,63.0,84.0,69.0,66.0
