Kategorie: Alle Kategorien

Woche,hartz vier: (Deutschland)
2014-11-30,62
2014-12-07,68
2014-12-14,65
2014-12-21,47
2014-12-28,52
2015-01-04,87
2015-01-11,73
2015-01-18,81
2015-01-25,69
2015-02-01,94
2015-02-08,50
2015-02-15,46
2015-02-22,76
2015-03-01,92
2015-03-08,78
2015-03-15,54
2015-03-22,76
2015-03-29,64
2015-04-05,84
2015-04-12,75
2015-04-19,79
2015-04-26,73
2015-05-03,55
2015-05-10,60
2015-05-17,53
2015-05-24,61
2015-05-31,81
2015-06-07,65
2015-06-14,47
2015-06-21,62
2015-06-28,59
2015-07-05,47
2015-07-12,57
2015-07-19,73
2015-07-26,56
2015-08-02,44
2015-08-09,72
2015-08-16,86
2015-08-23,82
2015-08-30,75
2015-09-06,70
2015-09-13,83
2015-09-20,72
2015-09-27,52
2015-10-04,60
2015-10-11,68
2015-10-18,47
2015-10-25,72
2015-11-01,35
2015-11-08,52
2015-11-15,41
2015-11-22,63
2015-11-29,74
2015-12-06,48
2015-12-13,91
2015-12-20,83
2015-12-27,61
2016-01-03,84
2016-01-10,71
2016-01-17,67
2016-01-24,91
2016-01-31,96
2016-02-07,62
2016-02-14,88
2016-02-21,79
2016-02-28,66
2016-03-06,82
2016-03-13,66
2016-03-20,64
2016-03-27,74
2016-04-03,57
2016-04-10,86
2016-04-17,92
2016-04-24,75
2016-05-01,61
2016-05-08,64
2016-05-15,62
2016-05-22,54
2016-05-29,75
2016-06-05,69
2016-06-12,53
2016-06-19,60
2016-06-26,61
2016-07-03,73
2016-07-10,53
2016-07-17,70
2016-07-24,69
2016-07-31,82
2016-08-07,49
2016-08-14,37
2016-08-21,82
2016-08-28,84
2016-09-04,66
2016-09-11,51
2016-09-18,77
2016-09-25,89
2016-10-02,63
2016-10-09,55
2016-10-16,60
2016-10-23,86
2016-10-30,58
2016-11-06,48
2016-11-13,64
2016-11-20,68
2016-11-27,65
2016-12-04,65
2016-12-11,43
2016-12-18,52
2016-12-25,66
2017-01-01,89
2017-01-08,49
2017-01-15,74
2017-01-22,70
2017-01-29,55
2017-02-05,60
2017-02-12,65
2017-02-19,67
2017-02-26,83
2017-03-05,49
2017-03-12,72
2017-03-19,67
2017-03-26,63
2017-04-02,47
2017-04-09,72
2017-04-16,71
2017-04-23,66
2017-04-30,62
2017-05-07,62
2017-05-14,46
2017-05-21,51
2017-05-28,66
2017-06-04,32
2017-06-11,52
2017-06-18,42
2017-06-25,48
2017-07-02,60
2017-07-09,56
2017-07-16,44
2017-07-23,37
2017-07-30,56
2017-08-06,40
2017-08-13,44
2017-08-20,73
2017-08-27,60
2017-09-03,65
2017-09-10,70
2017-09-17,59
2017-09-24,65
2017-10-01,41
2017-10-08,41
2017-10-15,61
2017-10-22,55
2017-10-29,45
2017-11-05,49
2017-11-12,54
2017-11-19,46
2017-11-26,53
2017-12-03,26
2017-12-10,41
2017-12-17,42
2017-12-24,58
2017-12-31,59
2018-01-07,36
2018-01-14,42
2018-01-21,47
2018-01-28,79
2018-02-04,67
2018-02-11,38
2018-02-18,59
2018-02-25,49
2018-03-04,50
2018-03-11,100
2018-03-18,94
2018-03-25,87
2018-04-01,65
2018-04-08,54
2018-04-15,70
2018-04-22,100
2018-04-29,54
2018-05-06,60
2018-05-13,52
2018-05-20,37
2018-05-27,48
2018-06-03,34
2018-06-10,31
2018-06-17,42
2018-06-24,45
2018-07-01,49
2018-07-08,60
2018-07-15,58
2018-07-22,57
2018-07-29,55
2018-08-05,58
2018-08-12,59
2018-08-19,43
2018-08-26,69
2018-09-02,49
2018-09-09,57
2018-09-16,64
2018-09-23,47
2018-09-30,36
2018-10-07,48
2018-10-14,51
2018-10-21,52
2018-10-28,71
2018-11-04,45
2018-11-11,66
2018-11-18,64
2018-11-25,61
2018-12-02,47
2018-12-09,50
2018-12-16,47
2018-12-23,64
2018-12-30,46
2019-01-06,58
2019-01-13,59
2019-01-20,55
2019-01-27,53
2019-02-03,45
2019-02-10,73
2019-02-17,57
2019-02-24,72
2019-03-03,55
2019-03-10,53
2019-03-17,47
2019-03-24,63
2019-03-31,50
2019-04-07,31
2019-04-14,54
2019-04-21,46
2019-04-28,43
2019-05-05,57
2019-05-12,59
2019-05-19,65
2019-05-26,67
2019-06-02,43
2019-06-09,39
2019-06-16,57
2019-06-23,59
2019-06-30,55
2019-07-07,37
2019-07-14,50
2019-07-21,53
2019-07-28,46
2019-08-04,50
2019-08-11,40
2019-08-18,40
2019-08-25,60
2019-09-01,48
2019-09-08,56
2019-09-15,44
2019-09-22,44
2019-09-29,37
2019-10-06,42
2019-10-13,37
2019-10-20,40
2019-10-27,64
2019-11-03,97
2019-11-10,59
2019-11-17,63
2019-11-24,57
