Kategorie: Alle Kategorien

Woche,wirtschaftskrise: (Deutschland)
2010-11-28,53
2010-12-05,59
2010-12-12,48
2010-12-19,29
2010-12-26,22
2011-01-02,49
2011-01-09,67
2011-01-16,73
2011-01-23,60
2011-01-30,53
2011-02-06,49
2011-02-13,58
2011-02-20,64
2011-02-27,62
2011-03-06,49
2011-03-13,55
2011-03-20,45
2011-03-27,53
2011-04-03,50
2011-04-10,49
2011-04-17,51
2011-04-24,27
2011-05-01,50
2011-05-08,51
2011-05-15,66
2011-05-22,57
2011-05-29,47
2011-06-05,41
2011-06-12,46
2011-06-19,38
2011-06-26,47
2011-07-03,39
2011-07-10,55
2011-07-17,41
2011-07-24,42
2011-07-31,61
2011-08-07,100
2011-08-14,48
2011-08-21,52
2011-08-28,47
2011-09-04,62
2011-09-11,48
2011-09-18,72
2011-09-25,60
2011-10-02,65
2011-10-09,69
2011-10-16,52
2011-10-23,48
2011-10-30,60
2011-11-06,54
2011-11-13,69
2011-11-20,87
2011-11-27,53
2011-12-04,69
2011-12-11,60
2011-12-18,48
2011-12-25,28
2012-01-01,39
2012-01-08,56
2012-01-15,57
2012-01-22,50
2012-01-29,46
2012-02-05,40
2012-02-12,42
2012-02-19,37
2012-02-26,53
2012-03-04,43
2012-03-11,41
2012-03-18,49
2012-03-25,38
2012-04-01,31
2012-04-08,27
2012-04-15,51
2012-04-22,46
2012-04-29,41
2012-05-06,53
2012-05-13,47
2012-05-20,61
2012-05-27,42
2012-06-03,42
2012-06-10,59
2012-06-17,46
2012-06-24,46
2012-07-01,36
2012-07-08,28
2012-07-15,27
2012-07-22,31
2012-07-29,25
2012-08-05,32
2012-08-12,25
2012-08-19,28
2012-08-26,40
2012-09-02,29
2012-09-09,32
2012-09-16,42
2012-09-23,44
2012-09-30,39
2012-10-07,36
2012-10-14,37
2012-10-21,36
2012-10-28,53
2012-11-04,44
2012-11-11,53
2012-11-18,50
2012-11-25,53
2012-12-02,43
2012-12-09,46
2012-12-16,29
2012-12-23,15
2012-12-30,30
2013-01-06,36
2013-01-13,40
2013-01-20,37
2013-01-27,27
2013-02-03,32
2013-02-10,24
2013-02-17,33
2013-02-24,39
2013-03-03,43
2013-03-10,31
2013-03-17,33
2013-03-24,27
2013-03-31,26
2013-04-07,41
2013-04-14,34
2013-04-21,40
2013-04-28,31
2013-05-05,29
2013-05-12,37
2013-05-19,33
2013-05-26,36
2013-06-02,37
2013-06-09,38
2013-06-16,23
2013-06-23,26
2013-06-30,23
2013-07-07,30
2013-07-14,16
2013-07-21,19
2013-07-28,20
2013-08-04,19
2013-08-11,21
2013-08-18,24
2013-08-25,26
2013-09-01,30
2013-09-08,24
2013-09-15,27
2013-09-22,30
2013-09-29,36
2013-10-06,27
2013-10-13,33
2013-10-20,25
2013-10-27,26
2013-11-03,38
2013-11-10,36
2013-11-17,32
2013-11-24,34
2013-12-01,32
2013-12-08,35
2013-12-15,27
2013-12-22,0
2013-12-29,14
2014-01-05,31
2014-01-12,31
2014-01-19,36
2014-01-26,27
2014-02-02,32
2014-02-09,34
2014-02-16,33
2014-02-23,32
2014-03-02,34
2014-03-09,41
2014-03-16,28
2014-03-23,26
2014-03-30,30
2014-04-06,25
2014-04-13,22
2014-04-20,22
2014-04-27,30
2014-05-04,31
2014-05-11,37
2014-05-18,32
2014-05-25,27
2014-06-01,32
2014-06-08,30
2014-06-15,27
2014-06-22,26
2014-06-29,25
2014-07-06,18
2014-07-13,24
2014-07-20,28
2014-07-27,21
2014-08-03,14
2014-08-10,11
2014-08-17,13
2014-08-24,16
2014-08-31,25
2014-09-07,23
2014-09-14,20
2014-09-21,24
2014-09-28,24
2014-10-05,32
2014-10-12,26
2014-10-19,32
2014-10-26,30
2014-11-02,29
2014-11-09,25
2014-11-16,31
2014-11-23,34
2014-11-30,38
2014-12-07,32
2014-12-14,40
2014-12-21,14
2014-12-28,18
2015-01-04,24
2015-01-11,33
2015-01-18,26
2015-01-25,25
2015-02-01,29
2015-02-08,32
2015-02-15,23
2015-02-22,46
2015-03-01,33
2015-03-08,35
2015-03-15,40
2015-03-22,28
2015-03-29,17
2015-04-05,17
2015-04-12,29
2015-04-19,27
2015-04-26,28
2015-05-03,30
2015-05-10,21
2015-05-17,28
2015-05-24,23
2015-05-31,31
2015-06-07,27
2015-06-14,29
2015-06-21,28
2015-06-28,28
2015-07-05,22
2015-07-12,19
2015-07-19,16
2015-07-26,14
2015-08-02,10
2015-08-09,16
2015-08-16,20
2015-08-23,30
2015-08-30,25
2015-09-06,28
2015-09-13,31
2015-09-20,30
2015-09-27,25
2015-10-04,20
2015-10-11,24
2015-10-18,15
2015-10-25,24
2015-11-01,24
2015-11-08,20
2015-11-15,23
2015-11-22,32
2015-11-29,27
