Kategorie: Alle Kategorien

Woche,lebenslauf: (Deutschland)
2010-11-28,53
2010-12-05,52
2010-12-12,50
2010-12-19,31
2010-12-26,32
2011-01-02,66
2011-01-09,91
2011-01-16,79
2011-01-23,81
2011-01-30,83
2011-02-06,91
2011-02-13,100
2011-02-20,100
2011-02-27,83
2011-03-06,72
2011-03-13,76
2011-03-20,72
2011-03-27,76
2011-04-03,73
2011-04-10,74
2011-04-17,54
2011-04-24,55
2011-05-01,78
2011-05-08,72
2011-05-15,72
2011-05-22,75
2011-05-29,65
2011-06-05,74
2011-06-12,64
2011-06-19,63
2011-06-26,69
2011-07-03,77
2011-07-10,68
2011-07-17,70
2011-07-24,63
2011-07-31,57
2011-08-07,63
2011-08-14,62
2011-08-21,64
2011-08-28,64
2011-09-04,70
2011-09-11,73
2011-09-18,77
2011-09-25,73
2011-10-02,69
2011-10-09,71
2011-10-16,70
2011-10-23,69
2011-10-30,63
2011-11-06,66
2011-11-13,77
2011-11-20,65
2011-11-27,61
2011-12-04,63
2011-12-11,60
2011-12-18,53
2011-12-25,46
2012-01-01,63
2012-01-08,88
2012-01-15,83
2012-01-22,83
2012-01-29,81
2012-02-05,89
2012-02-12,84
2012-02-19,81
2012-02-26,87
2012-03-04,84
2012-03-11,70
2012-03-18,67
2012-03-25,60
2012-04-01,50
2012-04-08,57
2012-04-15,67
2012-04-22,68
2012-04-29,60
2012-05-06,60
2012-05-13,64
2012-05-20,64
2012-05-27,58
2012-06-03,60
2012-06-10,67
2012-06-17,68
2012-06-24,65
2012-07-01,65
2012-07-08,65
2012-07-15,58
2012-07-22,49
2012-07-29,51
2012-08-05,52
2012-08-12,50
2012-08-19,54
2012-08-26,59
2012-09-02,60
2012-09-09,67
2012-09-16,63
2012-09-23,63
2012-09-30,55
2012-10-07,55
2012-10-14,56
2012-10-21,61
2012-10-28,50
2012-11-04,67
2012-11-11,65
2012-11-18,58
2012-11-25,59
2012-12-02,54
2012-12-09,51
2012-12-16,46
2012-12-23,31
2012-12-30,50
2013-01-06,71
2013-01-13,72
2013-01-20,71
2013-01-27,80
2013-02-03,75
2013-02-10,68
2013-02-17,79
2013-02-24,72
2013-03-03,63
2013-03-10,62
2013-03-17,55
2013-03-24,45
2013-03-31,48
2013-04-07,61
2013-04-14,56
2013-04-21,59
2013-04-28,53
2013-05-05,48
2013-05-12,57
2013-05-19,53
2013-05-26,51
2013-06-02,53
2013-06-09,60
2013-06-16,51
2013-06-23,63
2013-06-30,60
2013-07-07,59
2013-07-14,48
2013-07-21,45
2013-07-28,44
2013-08-04,51
2013-08-11,49
2013-08-18,52
2013-08-25,51
2013-09-01,54
2013-09-08,58
2013-09-15,57
2013-09-22,60
2013-09-29,52
2013-10-06,54
2013-10-13,58
2013-10-20,56
2013-10-27,52
2013-11-03,59
2013-11-10,60
2013-11-17,55
2013-11-24,53
2013-12-01,47
2013-12-08,53
2013-12-15,48
2013-12-22,28
2013-12-29,41
2014-01-05,65
2014-01-12,76
2014-01-19,73
2014-01-26,69
2014-02-02,78
2014-02-09,79
2014-02-16,77
2014-02-23,71
2014-03-02,53
2014-03-09,62
2014-03-16,58
2014-03-23,58
2014-03-30,56
2014-04-06,53
2014-04-13,44
2014-04-20,46
2014-04-27,52
2014-05-04,54
2014-05-11,58
2014-05-18,56
2014-05-25,51
2014-06-01,53
2014-06-08,50
2014-06-15,53
2014-06-22,54
2014-06-29,55
2014-07-06,58
2014-07-13,48
2014-07-20,46
2014-07-27,48
2014-08-03,47
2014-08-10,47
2014-08-17,47
2014-08-24,49
2014-08-31,49
2014-09-07,52
2014-09-14,52
2014-09-21,61
2014-09-28,49
2014-10-05,55
2014-10-12,55
2014-10-19,54
2014-10-26,50
2014-11-02,54
2014-11-09,56
2014-11-16,58
2014-11-23,51
2014-11-30,48
2014-12-07,49
2014-12-14,46
2014-12-21,28
2014-12-28,35
2015-01-04,61
2015-01-11,67
2015-01-18,69
2015-01-25,73
2015-02-01,72
2015-02-08,70
2015-02-15,64
2015-02-22,70
2015-03-01,63
2015-03-08,59
2015-03-15,54
2015-03-22,55
2015-03-29,44
2015-04-05,45
2015-04-12,50
2015-04-19,52
2015-04-26,51
2015-05-03,52
2015-05-10,48
2015-05-17,51
2015-05-24,47
2015-05-31,48
2015-06-07,53
2015-06-14,54
2015-06-21,56
2015-06-28,49
2015-07-05,55
2015-07-12,50
2015-07-19,45
2015-07-26,48
2015-08-02,43
2015-08-09,43
2015-08-16,46
2015-08-23,44
2015-08-30,47
2015-09-06,54
2015-09-13,54
2015-09-20,56
2015-09-27,57
2015-10-04,51
2015-10-11,53
2015-10-18,51
2015-10-25,50
2015-11-01,52
2015-11-08,51
2015-11-15,50
2015-11-22,49
2015-11-29,49
