,stepstone_W12,indeed_W12,jobbörse_W12,arbeitsamt_W12,bewerbung_W12,stepstone_W34prev,indeed_W34prev,jobbörse_W34prev,arbeitsamt_W34prev,bewerbung_W34prev,Unemp,month
2011-07-31,52.0,16.5,88.5,85.5,86.5,51.5,15.0,83.0,82.5,77.0,7.0,7
2011-08-31,54.0,15.5,93.5,79.5,73.0,52.333333333333336,15.666666666666666,87.0,82.66666666666667,70.33333333333333,7.0,8
2011-09-30,52.5,16.5,95.0,79.0,73.5,54.0,15.5,91.5,81.5,71.5,6.6,9
2011-10-31,51.5,18.5,86.5,78.5,71.0,55.5,17.0,91.0,79.0,76.0,6.5,10
2011-11-30,80.0,19.5,72.5,78.0,69.0,53.333333333333336,18.333333333333332,71.33333333333333,74.33333333333333,67.33333333333333,6.4,11
2011-12-31,72.5,18.0,65.0,57.5,59.5,97.5,18.0,70.5,60.5,65.5,6.6,12
2012-01-31,97.0,21.333333333333332,83.66666666666667,69.0,71.66666666666667,61.0,17.0,55.0,44.0,40.0,7.3,1
2012-02-29,83.0,24.0,94.0,64.5,75.5,91.0,23.0,96.5,71.5,75.5,7.4,2
2012-03-31,84.0,25.5,84.5,63.0,72.0,84.5,25.5,89.5,69.0,75.5,7.2,3
2012-04-30,69.5,21.5,63.5,53.5,57.0,78.5,24.0,76.0,64.5,67.5,7.0,4
2012-05-31,71.5,23.5,65.0,52.0,66.5,75.0,24.333333333333332,66.33333333333333,57.666666666666664,64.66666666666667,6.7,5
2012-06-30,74.0,23.0,75.0,58.0,69.0,73.0,23.0,66.5,55.5,65.5,6.6,6
2012-07-31,77.0,25.5,73.5,63.0,92.0,76.5,24.5,80.0,64.0,79.0,6.8,7
2012-08-31,80.5,26.5,69.5,64.5,70.0,78.66666666666667,25.666666666666668,68.33333333333333,64.33333333333333,68.0,6.8,8
2012-09-30,79.5,27.0,73.5,63.5,72.5,79.5,24.5,73.0,65.0,71.0,6.5,9
2012-10-31,79.5,31.5,79.5,72.0,67.0,74.0,28.0,69.33333333333333,74.33333333333333,70.0,6.5,10
2012-11-30,75.0,32.0,84.5,59.5,65.5,76.5,31.0,77.5,55.5,61.0,6.5,11
2012-12-31,68.0,29.5,66.0,52.5,53.5,76.0,31.0,77.0,59.5,63.0,6.7,12
2013-01-31,83.0,37.5,82.0,65.5,76.0,53.333333333333336,24.666666666666668,51.333333333333336,40.333333333333336,42.0,7.4,1
2013-02-28,83.5,36.5,82.0,81.0,72.5,81.0,36.0,84.0,70.5,76.5,7.4,2
2013-03-31,81.5,40.0,94.5,76.5,68.5,88.0,38.5,93.0,82.5,75.5,7.3,3
2013-04-30,88.0,44.0,91.0,67.0,68.0,80.0,38.333333333333336,82.0,61.666666666666664,61.0,7.1,4
2013-05-31,74.0,38.0,75.0,51.5,61.5,77.33333333333333,40.333333333333336,80.33333333333333,55.333333333333336,64.0,6.8,5
2013-06-30,85.0,43.0,79.0,74.0,69.5,74.5,40.0,73.0,51.0,63.5,6.6,6
2013-07-31,80.0,47.0,84.0,62.0,100.0,80.33333333333333,45.333333333333336,83.66666666666667,74.0,79.66666666666667,6.8,7
2013-08-31,83.0,46.0,84.0,60.0,74.0,80.66666666666667,45.666666666666664,82.33333333333333,61.0,68.0,6.8,8
2013-09-30,83.5,46.5,77.0,63.0,72.5,85.0,46.5,81.5,64.0,69.5,6.6,9
2013-10-31,83.0,47.5,76.5,65.0,71.0,79.33333333333333,44.666666666666664,73.0,58.333333333333336,70.33333333333333,6.5,10
